BE375BAAXPvAibaEXe9JDlHA4z2GHJ3/PVStCxR2,8,{'relationship': 'enrolled_in'}
8,FF648425XPvAibaEXe97hU2RTHdNnAuHAKPICPTO,{'relationship': 'enrolled_in'}
8,C2100719XPvAibaEXe/BqA0y8R3TRcJ/JtkxsBzj,{'relationship': 'enrolled_in'}
8,E99E9EA2XPvAibaEXe+LLvbxzunmJFOIkyW9ng8u,{'relationship': 'enrolled_in'}
8,31D5D488XPvAibaEXe85Kg8gbEhwbxD0x3mi2el8,{'relationship': 'enrolled_in'}
8,7E308531XPvAibaEXe879+AOg1gh8i58Q/VMq7RU,{'relationship': 'enrolled_in'}
8,0FCB6532XPvAibaEXe879+AOg1gh8o0EEQcYQ8HR,{'relationship': 'enrolled_in'}
8,BAF446BFXPvAibaEXe879+AOg1gh8uQrEauqA0AG,{'relationship': 'enrolled_in'}
8,599DFFB8XPvAibaEXe879+AOg1gh8lJvChSN7o+V,{'relationship': 'enrolled_in'}
8,364B9E9BXPvAibaEXe879+AOg1gh8sRVdBmZSiXe,{'relationship': 'enrolled_in'}
8,BBAD4F2BXPvAibaEXe879+AOg1gh8vGaQYZ3wJAR,{'relationship': 'enrolled_in'}
8,88C15831XPvAibaEXe879+AOg1gh8uMWWp9sXQnJ,{'relationship': 'enrolled_in'}
8,FC77E598XPvAibaEXe879+AOg1gh8pb/q8KzJ2A3,{'relationship': 'enrolled_in'}
8,9E9A38AEXPvAibaEXe879+AOg1gh8jBg5Ccj9ksF,{'relationship': 'enrolled_in'}
8,140E6C4CXPvAibaEXe/asAVnWDRS7Te/6FHN3JZ9,{'relationship': 'enrolled_in'}
8,A6EA9F79XPvAibaEXe/asAVnWDRS7dXIHpGvggPH,{'relationship': 'enrolled_in'}
8,F9AD085CXPvAibaEXe/asAVnWDRS7ejs/e1rGnUq,{'relationship': 'enrolled_in'}
8,B1460568XPvAibaEXe/asAVnWDRS7f+aMPJ9kBjL,{'relationship': 'has_status'}
8,sinhviênquáthờigiantheothiếtkếcủachươngtrìnhđàotạochuyểntựdo,{'relationship': 'explained_by'}
8,32CA7383XPvAibaEXe/asAVnWDRS7W3J9+TvE5ZI,{'relationship': 'enrolled_in'}
8,85A1EF64XPvAibaEXe/asAVnWDRS7aDwG/eutYGP,{'relationship': 'enrolled_in'}
8,E68386BCXPvAibaEXe/asAVnWDRS7bT1MwA0tQQ/,{'relationship': 'enrolled_in'}
8,786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY,{'relationship': 'enrolled_in'}
8,F585674DXPvAibaEXe93PEySAJOVk6T3mUZtHkOx,{'relationship': 'enrolled_in'}
8,9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr,{'relationship': 'enrolled_in'}
8,246BFB8AXPvAibaEXe93PEySAJOVk7f1TlF/mfrO,{'relationship': 'enrolled_in'}
8,9593C5A1XPvAibaEXe93PEySAJOVkwyGf+OwqHPe,{'relationship': 'enrolled_in'}
8,B652E11DXPvAibaEXe93PEySAJOVkyJM7AttkNBy,{'relationship': 'enrolled_in'}
8,D563BE5EXPvAibaEXe93PEySAJOVk29BEIkXUhF+,{'relationship': 'enrolled_in'}
8,98247E19XPvAibaEXe93PEySAJOVkxsz+HIviyYJ,{'relationship': 'enrolled_in'}
